sizeof(int64_t)=8 sizeof(char)1
return new_buf:488648753 1907200
return new_buf:807403582 536871936
return new_buf:285216768 1114128
return new_buf:3158065 1
return new_buf:2114609 16
return new_buf:1441841 2048
return new_buf:808527092 808525876
return new_buf:549072945 8248
return new_buf:806879537 806879488
return new_buf:268498974 58772
return new_buf:12606 128
return new_buf:19935488 77873
return new_buf:62976 8192
return new_buf:541865216 541865216
return new_buf:540029240 540029240
return new_buf:7103537 27748
return new_buf:808464384 808464384
return new_buf:154218801 602400
return new_buf:872415332 36608
return new_buf:570458240 8323199
return new_buf:536870931 16719921
return new_buf:824193408 100663045
return new_buf:825301813 825301809
return new_buf:6561073 2097153
return new_buf:808464433 4194304
return new_buf:824193329 65280
return new_buf:926363697 3219456
return new_buf:113 32
return new_buf:14861514 58052
return new_buf:203436339 262015
return new_buf:10987315 1572864
return new_buf:822083633 822083632
return new_buf:266403846 1792
return new_buf:12619 49
return new_buf:131147 131147
return new_buf:805307415 552796031
return new_buf:3158522 100
return new_buf:352329777 1376256
return new_buf:20787214 2109696
return new_buf:8396032 8323237
return new_buf:6560565 6560565
return new_buf:837423104 837419024
return new_buf:421540224 421540097
return new_buf:822345728 8240
return new_buf:808577027 808577027
return new_buf:16724529 29
return new_buf:805318705 805312051
return new_buf:1048752 1048610
return new_buf:808464433 808459312
return new_buf:2250801 59392
return new_buf:7810048 2260780
return new_buf:810430513 808464416
return new_buf:16777216 16777216
return new_buf:2102435 2101248
return new_buf:858866225 858866225
return new_buf:540090417 8421120
return new_buf:724239360 2829060
return new_buf:3223729 3161600
return new_buf:26880 6656
return new_buf:3815985 3801088
return new_buf:36 18
return new_buf:14897 24
return new_buf:808464431 8323072
return new_buf:49 32
return new_buf:824193329 824193329
return new_buf:824193329 320876849
return new_buf:892810852 892810852
return new_buf:16839202 16839202
return new_buf:3158272 12337
return new_buf:3158124 1048576
return new_buf:821895217 821895216
return new_buf:3223601 2031616
return new_buf:808464432 806354944
return new_buf:268459830 268459830
return new_buf:43598 43554
return new_buf:808464432 16777265
